Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
     683   5835.83   4173.86     49.76
     684   5788.12   4128.02     52.25
     685   5813.89   4152.82     50.00
     686   5783.59   4162.83     51.66
     687   5808.09   4182.40     50.00
     688   5780.86   4193.71     49.83
     689   5804.96   4210.86     47.60
     690   5779.50   4224.02     42.68
     691   5768.94   4299.96     34.72
     692   5777.04   4253.65     39.95
     693   5772.81   4280.08     37.87
     694   5778.71   4099.82     60.57
     695   6106.37   4164.77     43.56
     696   6136.29   4169.13     43.85
     697   6165.78   4172.76     44.56
     698   6120.77   4065.84     70.00
     699   6102.60   4087.72     60.11
     700   6084.09   4109.91     54.30
     701   6160.77   4098.03     54.58
     702   6131.67   4092.96     58.17
     703   6142.81   4119.88     49.98
     704   6124.69   4142.12     48.50
     705   6172.08   4124.61     49.89
     706   6183.48   4151.01     47.13
     707   6154.19   4146.59     48.39
     708   6113.48   4115.00     50.20
     709   6095.01   4137.37     49.74
     710   6149.58   4071.29     65.69
     711   6091.99   4060.29     70.00
     712   6063.26   4054.71     70.00
     713   6073.58   4082.36     61.84
     714   6114.86   4216.99     39.93
     715   6135.20   4215.72     39.99
     716   6117.89   4193.93     40.09
     717   6148.81   4194.62     40.00
     718   6123.31   4234.08     39.44
     719   6249.88   4288.58     32.37
     720   6229.12   4287.16     35.43
     721   6208.09   4285.92     36.52
     722   6184.25   4285.73     36.62
     723   6160.74   4278.49     37.15
     724   6139.09   4273.52     37.13
     725   6225.25   4320.86     35.55
     726   6237.44   4305.38     35.31
     727   6217.57   4303.53     35.54
     728   6198.14   4302.87     35.88
     729   6181.56   4304.64     35.81
     730   6165.23   4298.51     36.01
     731   6145.07   4292.96     36.15
     732   6125.02   4288.71     36.18
     733   6112.12   4303.55     36.00
     734   6190.03   4318.36     35.61
     735   6130.72   4307.10     35.84
     736   6149.61   4311.46     35.57
     737   6170.13   4317.75     35.37
     738   6207.37   4319.00     35.63
     739   6257.25   4305.73     30.10
     740   6231.68   4251.42     37.18
     741   6212.06   4252.94     38.77
     742   6193.42   4246.17     39.57
     743   6169.60   4240.66     39.84
     744   6199.16   4267.09     38.02
     745   6220.27   4269.15     37.44
     746   6241.49   4270.38     33.52
     747   6153.96   4257.60     38.71
     748   6176.85   4262.63     38.70
     749   6205.67   4203.13     40.04
     750   6215.81   4230.88     39.72
     751   6187.03   4222.84     39.99
     752   5164.16   4037.48     44.57
     753   5162.13   4046.33     40.50
     754   5160.10   4055.18     39.36
     755   5158.07   4064.03     39.40
     756   5156.04   4072.89     39.41
     757   5149.97   4331.84     43.12
